step,a,k,Pk
4,1.103333,5.574837e-01,4.440290e+01
4,1.103333,6.526817e-01,3.900702e+01
4,1.103333,7.647137e-01,3.767613e+01
4,1.103333,9.010922e-01,3.388636e+01
4,1.103333,1.058149e+00,3.162845e+01
4,1.103333,1.241785e+00,2.838948e+01
4,1.103333,1.458089e+00,2.517899e+01
4,1.103333,1.713080e+00,2.159848e+01
4,1.103333,2.011647e+00,1.842428e+01
4,1.103333,2.362211e+00,1.566790e+01
4,1.103333,2.774575e+00,1.261638e+01
4,1.103333,3.258647e+00,9.976430e+00
4,1.103333,3.828133e+00,7.569584e+00
4,1.103333,4.484124e+00,5.796121e+00
4,1.103333,5.229908e+00,3.938197e+00
4,1.103333,6.062341e+00,2.670260e+00
4,1.103333,6.950905e+00,1.784540e+00
5,1.320000,8.885766e-02,2.350402e+02
5,1.320000,1.088280e-01,2.069086e+02
5,1.320000,1.256637e-01,1.514383e+02
5,1.320000,1.472011e-01,1.089086e+02
5,1.320000,1.854155e-01,1.051655e+02
5,1.320000,2.118531e-01,8.523039e+01
5,1.320000,2.523490e-01,9.881384e+01
5,1.320000,2.888755e-01,7.159224e+01
5,1.320000,3.397697e-01,6.282270e+01
5,1.320000,4.011974e-01,5.786277e+01
5,1.320000,4.720171e-01,5.708426e+01
5,1.320000,5.574837e-01,5.530321e+01
5,1.320000,6.526817e-01,4.850407e+01
5,1.320000,7.647137e-01,4.661558e+01
5,1.320000,9.010922e-01,4.134785e+01
5,1.320000,1.058149e+00,3.840312e+01
5,1.320000,1.241785e+00,3.413485e+01
5,1.320000,1.458089e+00,3.032852e+01
5,1.320000,1.713080e+00,2.597707e+01
5,1.320000,2.011647e+00,2.232678e+01
5,1.320000,2.362211e+00,1.905661e+01
5,1.320000,2.774575e+00,1.536679e+01
5,1.320000,3.258647e+00,1.210426e+01
5,1.320000,3.828133e+00,9.203767e+00
5,1.320000,4.484124e+00,7.038109e+00
5,1.320000,5.229908e+00,4.793755e+00
5,1.320000,6.062341e+00,3.263471e+00
5,1.320000,6.950905e+00,2.185169e+00
